id,AGE,SEX,Land use mix-diversity,Residential density,Land use mix-access,Street connectivity,Walking/Cycling facilities,Neighborhood aesthetics,Pedestrian and automobile traffic safety,Crime safety
1,15,2,2,2,2,2,2,2,1,2
2,15,1,2,2,2,2,2,1,1,2
3,16,2,2,2,2,1,2,2,1,1
4,15,1,2,2,1,1,1,2,1,2
5,15,2,2,2,2,1,2,2,1,2
6,16,2,2,2,1,1,1,2,1,2
7,15,2,2,2,1,1,1,2,1,2
8,15,2,1,2,2,1,1,2,1,2
9,15,2,1,2,1,1,1,2,1,2
10,15,2,1,2,2,1,2,2,2,2
11,14,2,1,2,1,1,1,2,1,2
12,16,2,1,2,1,1,1,2,1,2
13,15,2,1,2,1,1,1,2,2,2
14,15,2,2,2,2,1,1,2,1,2
15,15,1,2,2,1,1,2,2,2,2
16,16,2,2,2,1,1,1,2,1,2
17,16,1,2,2,1,2,1,1,1,2
18,16,2,2,2,2,2,2,2,1,2
19,16,2,2,2,2,1,1,2,1,1
20,15,1,2,2,1,2,1,1,1,2
21,16,2,1,2,1,2,1,2,2,2
22,16,1,2,2,2,1,2,1,2,2
23,14,1,2,2,2,2,2,1,2,2
24,15,2,2,2,1,1,2,2,2,1
25,14,2,2,2,1,2,2,2,2,1
26,16,2,2,2,1,1,1,1,2,1
27,15,1,2,2,2,2,2,1,2,2
28,14,2,2,2,1,2,1,2,2,2
29,15,2,2,2,1,1,1,2,1,1
30,14,1,2,2,1,1,1,2,1,1
31,16,1,2,2,2,1,1,2,2,2
32,15,2,2,2,2,2,2,2,2,2
33,15,2,2,2,2,2,2,2,2,2
34,15,1,2,2,1,1,1,2,2,2
35,16,1,2,2,1,1,1,1,2,2
36,15,2,2,2,1,2,1,2,2,2
37,15,2,2,2,2,2,2,2,2,2
38,15,2,2,2,1,2,2,2,2,2
39,14,2,2,2,1,1,2,2,2,2
40,15,1,2,2,1,1,1,1,2,2
41,15,2,2,2,1,1,1,2,1,2
42,14,2,1,2,1,2,2,2,2,1
43,16,2,2,2,2,1,1,1,2,2
44,15,2,1,2,1,1,1,1,1,2
45,14,2,2,2,2,2,2,2,2,2
46,15,1,2,2,1,2,2,2,2,1
47,15,2,2,1,1,2,2,1,1,1
48,15,2,2,2,2,2,2,1,2,2
49,14,2,2,2,2,1,2,1,2,2
50,15,2,2,2,2,2,2,2,2,2
51,15,1,2,2,2,2,2,1,2,2
52,15,1,1,2,1,1,1,1,1,2
53,14,1,1,1,1,1,1,1,2,2
54,14,2,2,2,2,2,2,1,2,2
55,14,2,2,2,1,1,2,1,2,1
56,15,2,2,2,2,2,1,1,2,2
57,15,1,1,2,1,1,1,2,1,2
58,16,1,2,2,2,1,2,2,1,2
59,16,2,1,2,1,2,1,1,1,1
60,15,1,2,2,1,1,1,1,1,2
61,15,2,2,2,1,1,1,1,1,2
62,15,1,2,2,1,1,1,1,1,2
63,15,2,2,2,1,2,2,1,2,2
64,15,2,2,2,1,1,2,2,2,2
65,15,1,2,2,1,1,1,1,1,2
66,16,1,1,2,1,1,2,1,2,2
67,16,1,2,2,2,1,2,2,2,2
68,16,1,2,2,1,1,2,2,2,1
69,15,1,2,2,2,2,1,2,1,2
70,16,2,2,2,1,1,1,2,1,2
71,15,1,2,2,2,1,2,2,2,2
72,15,1,1,2,1,1,1,1,1,2
73,15,2,1,2,1,1,1,2,1,1
74,16,2,2,2,1,2,1,1,1,1
75,15,2,2,2,1,1,2,1,2,1
76,15,2,2,2,1,1,1,1,1,2
77,15,1,1,2,1,1,1,2,1,1
78,15,1,2,2,1,2,1,1,1,2
79,15,2,2,2,1,1,2,1,1,2
80,15,2,1,2,2,1,2,2,2,2
81,15,2,1,2,1,1,1,1,1,1
82,16,1,2,2,1,1,1,1,2,2
83,16,1,1,2,1,1,1,1,1,1
84,15,1,2,2,2,2,1,2,1,2
85,16,1,2,2,1,1,1,2,1,2
86,14,1,2,2,2,1,2,2,1,2
87,15,1,2,1,1,1,1,2,1,2
88,15,1,2,2,1,1,2,2,1,1
89,15,1,2,2,1,1,2,1,1,2
90,15,2,1,2,1,1,1,1,2,2
91,15,2,2,2,2,1,1,1,1,2
92,15,2,2,2,1,1,2,2,2,2
93,15,1,1,2,1,1,2,2,1,2
94,16,2,2,2,2,1,2,2,2,1
95,16,2,2,2,1,2,1,1,1,2
96,16,2,2,2,1,1,2,1,2,1
97,15,2,2,2,2,1,1,2,1,1
98,15,1,2,2,2,2,1,1,2,2
99,15,2,2,2,1,1,1,2,1,2
100,15,2,2,2,1,1,2,2,2,1
101,16,1,2,2,1,2,1,2,1,2
102,15,1,2,2,1,1,1,1,2,2
